id,image,letters,translit,gloss
aman,assets/aman.png,א מ ן,aman,believe
arak,assets/arak.png,עָ רַ ךְ,arak,arrange
barach,assets/barach.png,בָּ רַ ח,barach,flee
chabar,assets/chabar.png,חָ בַ ר,chabar,unite
chathar,assets/chathar.png,חָ תַ ר,chathar,dig
marad,assets/marad.png,מָ רַ ד,marad,rebel
radam,assets/radam.png,רָ דַ ם,radam,sleep deeply
saar,assets/saar.png,סָ עַ ר,saar,storm
shaar,assets/shaar.png,שָׁ אַ ר,shaar,remain
shakan,assets/shakan.png,שָׁ כַ ן,shakan,dwell
tul,assets/tul.png,ט וּ ל,tul,hurl
zaak,assets/zaak.png,זָ עַ ק,zaak,cry out 
ruq,assets/ruq.png,ר ו ק,ruq,empty
shabah,assets/shabah.png,שָׁ בָ ה,shabah,take captive
chalaq,assets/chalaq.png,חָ לַ ק,chalaq,divide
matar,assets/matar.png,מָ טַ ר,matar,cause to rain
rachaph,assets/rachaph.png,רָ חַ ף,rachaph,hover
dasha,assets/dasha.png,דָּ שָׁ א,dasha,sprout
yatsar,assets/yatsar.png,יָ צַ ר,yatsar,form
asah,assets/asah.png,ע שׂ ה,asah,"do, make"
matsa,assets/matsa.png,מ צ א,matsa,find
ahav,assets/ahav.png,א ה ב,ahav,love
amar,assets/amar.png,א מ ר,amar,say
shir,assets/shir.png,שִׁ י ר,shir,sing
male,assets/male.png,מ ל א,male,fill
baqash,assets/baqash.png,בָּ קַ שׁ,baqash,seek
akhal,assets/akhal.png,א כ ל,akhal,eat
shatah,assets/shatah.png,שׁ ת ה,shatah,drink
yarad,assets/yarad.png,י ר ד,yarad,go down
alah,assets/alah.png,ע ל ה,alah,go up
shakav,assets/shakav.png,שׁ כ ב,shakav,lie down
patah,assets/patah.png,פ ת ח,patah,open
lavash,assets/lavash.png,ל ב שׁ,lavash,wear
laqah,assets/laqah.png,ל ק ח,laqah,take
shamah,assets/shamah.png,שׁ מ ע,shamah,hear
nasa,assets/nasa.png,נ שׂ א,nasa,lift
raah,assets/raah.png,ר א ה,raah,see
shuv,assets/shuv.png,שׁ וּ ב,shuv,"turn, return"
yashav,assets/yashav.png,י שׁ ב,yashav,sit
avar,assets/avar.png,ע ב ר,avar,"pass, cross"
shalah,assets/shalah.png,שׁ ל ח,shalah,send
shamar,assets/shamar.png,שׁ מ ר,shamar,guard
banah,assets/banah.png,ב נ ה,banah,build
yasha,assets/yasha.png,יָ שַׁ ע,yasha,save
hanah,assets/hanah.png,ח נ ה,hanah,camp
halakh,assets/halakh.png,ה ל ךְ,halakh,"go, walk"
natan,assets/natan.png,נ ת ן,natan,"give, set"
qum,assets/qum.png,ק וּ ם,qum,rise
nagad,assets/nagad.png,נ ג ד,nagad,tell
asaf,assets/asaf.png,א ס ף,asaf,gather
